orgID,oldID,Material,Description,PartTypeID,Material type,Material Group,Price,Price Unit,Notes
1,374,1119976-01,"Assy, PCBA, RackBack-VE, PVT, RoHS ",15,ZROH,02,"170,860.00",1000,none remaining?
1,375,1119978,"Assy, Tray, Ikea, Base Config, IceFyre w",24,ZMOD,SM009,,,
1,376,1119979,"Assy,Tray, Ikea, Base Config, Flatback-V",24,ZMOD,SM009,,,
1,377,1119983,"Assy, Tray, Ikea 3.0/4.0, Rackback-VE Sl",24,ZFRT,01,"4,529,990.00",1000,
1,378,1119984,"Assy, Tray, Ikea 3.0/4.0, Flatback-VE Sl",24,ZFRT,01,"4,216,410.00",1000,
1,379,1120056,"Option, Flash Card, PCIE, Razorback, 409",24,ZMOD,SM009,,,
1,380,1120056-01,"Option, Flash Card, PCIE, Razorback, 409",24,ZMOD,SM009,,,
1,381,1120057,"Assy, Razorback w/ Option, 4096GB eMLC/e",24,ZMOD,SM009,,,
1,382,1120057-01,"Assy, Razorback w/ Option, 4096GB eMLC/e",24,ZMOD,SM009,,,
1,383,1120158-01,"Assy, Warthog, PCIe Gen4 x8, 4096GB TLC,",24,ZROH,02,0.00,1000,
1,384,1120160-01,"Assy, Warthog, PCIe Gen4 x8, 4096GB TLC,",22,ZROH,02,0.00,1000,
1,385,1120291,"ASSY,MECHANICAL,FLATBACK SLIDER 15,VE, V",15,ZROH,03,"77,240.00",1000,
1,386,1120292,RB Slider VE Chassis,15,ZROH,03,"73,680.00",1000,
1,387,1120856-01,"Assy, IO Module, Orizuru-GSSD, GSS, 2xSh",24,ZMOD,SM009,,,
1,388,1120860-01,"Assy, IO Module, Orizuru-Hybrid, IHS, 1",24,ZMOD,SM009,,,
1,389,1121845,"Assy, Tray, Ikea 4.0 RBS, Flatback Slide",24,ZFRT,01,"4,905,600.00",1000,
1,390,1121846,"Assy, Tray, Ikea 3.0/4.0, Rackback Slide",24,ZFRT,01,"5,135,470.00",1000,
1,391,1121852,"Options Hard Drive, 20TB HSMR, SATA, Rac",24,ZMOD,SM009,,,
1,392,1121853,"Options Hard Drive, 20TB HSMR, SATA, Fla",24,ZMOD,SM009,,,
1,393,1121944,"ASM, Top Cover, Xena",24,ZMOD,SM009,,,
1,394,1121982,"ASM, Base Tray With Fan Cage and Sponge,",20,ZROH,05,"241,225.97",1000,
1,395,1121982-01,"ASM, Base Tray With Fan Cage and Sponge,",24,ZROH,05,"294,000.00",1000,
1,396,1121994,"ASM, Top Cover, Xena",24,ZMOD,05,112.00,1,
1,397,1121994-01,1121994-01_ASM_TOP_COVER_XENA,20,ZROH,01,"85,730.00",1000,
1,398,1121994-02,1121994-01_ASM_TOP_COVER_XENA,24,ZROH,05,"138,280.00",1000,
1,399,1121995,"Airduct, Top Cover, Xena",3,ZROH,05,"9,370.00",1000,
1,400,1121999,"ASM, Top Cover, no Duct, Xena",24,ZROH,05,"109,000.00",1000,from Mindy's List
1,401,1122147,"Assy, Tray, Xena, Siryn 160/3.0, 1x64GB/",24,ZFRT,01,"3,556,470.00",1000,
1,402,1122148,"Assy, Tray, Xena, Siryn 160/3.0, Base Co",24,ZMOD,SM009,,,
1,403,1122156,"Heatsink, Model B, CPU, Xena, Pre-EVT",24,ZROH,05,"1,632,910.00",1000,
1,404,1122156-01,"Heatsink, CPU, Xena, EVT",20,ZROH,05,"320,642.94",1000,
1,405,1122162,"Option, Temperature Sensor, I2Cool, Xena",24,ZMOD,SM009,,,
1,406,1122163,"Options, Fan Assembly, 80x80x38 mm, Plas",24,ZMOD,SM009,,,
1,407,1122168,"Ampere Scalable Processors, 160/3.0GHz,",24,ZROH,02,0.00,1000,
1,408,1122194,"Options, CSSD-PH2X, PCBA, 64GB/128GB Raw",24,ZMOD,SM009,,,
1,409,1122217,"Assembly Label, 0.5"" x 0.2"", Glossy Whit",24,ZMOD,SM009,,,
1,410,1122219,"Option, Memory, 32GB, 10x4, 1Rx4 RANK, S",24,ZMOD,SM009,,,
1,412,1122227,"Assy, Tray, Xena, Siryn 160/3.0, 1x64GB/",24,ZFRT,01,"3,547,550.00",1000,
1,413,1122228,"Option, Flash Card, PCIE, Warthog, 4096G",24,ZMOD,SM009,,,
1,414,1122228-01,"Option, Flash Card, PCIE, Warthog, 4096G",24,ZMOD,SM009,,,
1,415,1122229,"Assy, Warthog w/ Option, 4096GB Prod War",24,ZMOD,SM009,,,
1,416,1122229-01,"Assy, Warthog w/ Option, 4096GB Prod War",24,ZMOD,SM009,,,
1,417,1122236,"Assy, Tray, Xena, Siryn 160/3.0, 1x64GB/",24,ZFRT,01,"3,908,560.00",1000,
1,418,1122239,"Option, Memory, 32GB, 10x4, 1Rx4 RANK, M",24,ZMOD,SM009,,,
1,419,1122307-01,"Memory, 128GB, Samsung-RBS-MPS, DDR5-480",1,ZROH,02,0.00,1000,
1,420,1122880,"Keyhole, Self-clinching, Standoff",24,ZROH,05,0.00,1000,
1,421,1123036,"Screw, Phillips, Pan HD w/washer,  #4-40",24,ZROH,05,0.00,1000,
1,422,1123800,"JDM, SCREW, Fan Screw, M4 18P x 7.5, #2",17,ZROH,05,80.00,1000,
1,423,1123801,"JDM, SCREW, #8-16 TAPPING x 9.5mm, #2 Ph",17,ZROH,05,33.69,1000,
1,424,1123858,"JDM, SCREW, M3 x 7.5, 2mm Shoulder, with",17,ZROH,05,31.04,1000,SMC_Xena_1-1
1,425,1123883,"JDM, SCREW, 6-32 x 3mm, Low-profile, wit",17,ZROH,05,87.70,1000,
1,426,1123885,"JDM, SCREW, M3 x 7.5, 2mm Shoulder, with",17,ZROH,05,171.53,1000,
1,427,1123888-01,"Assy, PDB Power Module, Gulp 850W, Delta",24,ZFRT,01,"154,030.00",1000,
1,428,1123888-02,"Assy, PDB Power Module, Gulp 850W, Delta",24,ZFRT,01,"161,270.00",1000,
1,429,1123889-01,"PDB, PCBA, 850W Power Supply board, Gulp",24,ZHLB,05,"98,518.32",1000,
1,430,1123889-02,Astoria_Mid Gulp_PDB_brick_Scout Build_1,24,ZHLB,SM007,0.00,1000,
1,431,1123935,"Assembly, Faceplate, Diorite, FRG, Low P",22,ZROH,05,0.00,1000,
1,432,1123935-FMP,"Assembly, Faceplate, Diorite, FRG, Low P",4,ZROH,05,436.25,1000,
1,433,1123978,Power cable connecting PSU and MINI PDBB,24,ZROH,05,0.00,1000,
1,434,1124014,"Assy, Tray, ASTORIA, Base Config, EMC, E",24,ZMOD,SM009,,,
1,435,1124015,"Assy, Tray, Astoria, Genoa 96/320, Super",24,ZFRT,01,"2,385,370.00",1000,
1,436,1124053,"Screw, U4-40*6.35(WASHER)-P(NI)STEEL",17,ZROH,05,240.00,1000,
1,437,1124055,"Option, Memory, 64GB, 9x4, 2Rx4 RANK, DD",24,ZMOD,SM009,,,
1,438,1124056,"Assy, Tray, Astoria, Genoa 96/320, Super",24,ZFRT,01,"2,284,950.00",1000,
1,439,1124058,"Assy, Tray, Astoria, Genoa 96/320, Super",24,ZFRT,01,"2,296,830.00",1000,
1,440,1124059,"Assy, Tray, Astoria, Genoa 96/320, Super",24,ZFRT,01,"2,257,820.00",1000,
1,441,1124061,"Assy, Tray, Astoria, Genoa 96/320, Super",24,ZFRT,01,"2,579,530.00",1000,
1,442,1124062,"Option, Memory, 128GB, 10x4, 4Rx4 RANK,",24,ZMOD,SM009,,,
1,443,1124063,"Option, Memory, 32GB, 9x4, 1Rx4 RANK, DD",24,ZMOD,SM009,,,
1,444,1124064,"Assy, Tray, Astoria, Genoa 96/320, Super",24,ZFRT,01,"2,969,150.00",1000,
1,445,1124183,"Combo Assy, Motherboard+96C ES2 A0 CPU,",24,ZHLB,SM007,"1,116,110.00",1000,
1,446,1124293,"Assy, CPU Heatsink, 6HP, 3 Al Fin Stack",12,ZROH,05,"412,570.00",1000,
1,447,1124295,"Assy, CPU Heatsink, 6HP, 3 Al Fin Stack,",24,ZROH,05,"147,500.00",1000,
1,448,1124347,"Assy, Tray, Astoria, Genoa 96/320, Super",24,ZFRT,01,"2,244,690.00",1000,
1,449,1124356,"Assy, Tray, Astoria, Genoa 96/320, Super",24,ZFRT,01,0.00,1000,
1,450,1124365,"Assy, Tray, Astoria, Genoa 96/320, Super",24,ZFRT,01,"2,469,500.00",1000,
1,451,1124369,"Assy, Tray, Astoria, Genoa 96/320, Super",24,ZFRT,01,"2,588,900.00",1000,
1,452,1124373,"Assy, Tray, Astoria, Genoa 96/320, Super",24,ZFRT,01,"2,144,290.00",1000,
1,453,1124376,"Assy, Tray, Astoria, Genoa 96/320, Super",24,ZFRT,01,"2,129,870.00",1000,
1,454,1124583,"Options, Heatsink, CPU, Astoria, EVT2",24,ZMOD,SM009,,,
1,455,1124646,"Assembly, Label, Part Number / Serial Nu",24,ZMOD,SM009,,,
1,456,1124995,"Option, Memory, 32GB, 10x4, 1Rx4 RANK, D",24,ZMOD,SM009,,,
1,457,1125020,"Options, CSSD-PH2X, PCBA, 128GB Raw, 100",24,ZMOD,SM009,,,
1,458,1125063,"Options, Fan, 40x40x28 mm, PDB Gulp Powe",24,ZMOD,SM009,,,
1,459,1125331,AMD EPYC Processor - 14/96/320 ES2 A0:EV,24,ZROH,UMOTHR,0.00,1000,
1,460,1125333,AMD EPYC Processor - 14/32/200 ES2 A0:EV,24,ZROH,UMOTHR,0.00,1000,
