Material,Plant,Valuation Type,Material description,Last Change,Material type,Material Group,Base Unit of Measure,Purchasing Group,ABC Indicator,MRP Type,Valuation Class,Price control,Price,Currency,Price unit,Created by
MG2200,FW62,,PLD(Programmable Logic Device),07/15/2022,ZROH,UMOTHR,EA,SP2,A,PD,3000,V,0.00,USD,1,FIIWENG02
MG2T00,FW62,,Hardware,07/15/2022,ZROH,UMOTHR,EA,SP5,A,PD,3000,V,0.00,USD,1,FIIWENG02
MG3100,FW62,,Digital logic IC,07/15/2022,ZROH,UMOTHR,EA,SP5,A,PD,3000,V,0.00,USD,1,FIIWENG02
MG3200,FW62,,Linear IC,07/15/2022,ZROH,UMOTHR,EA,SP5,A,PD,3000,V,0.00,USD,1,FIIWENG02
MG3400,FW62,,Connector,07/15/2022,ZROH,UMOTHR,EA,SP1,B,PD,3000,V,0.00,USD,1,FIIWENG02
MG3A00,FW62,,Packing Material,07/15/2022,ZROH,UMOTHR,EA,FI2,B,PD,3000,V,0.00,USD,1,FIIWENG02
MG3C00,FW62,,Label,07/15/2022,ZROH,UMOTHR,KPC,FI2,B,PD,3000,V,0.00,USD,1,FIIWENG02
MG4100,FW62,,ROM,07/15/2022,ZROH,UMOTHR,EA,SP5,A,PD,3000,V,0.00,USD,1,FIIWENG02
MG4200,FW62,,RAM,07/15/2022,ZROH,UMOTHR,KPC,SP2,A,PD,3000,V,0.00,USD,1,FIIWENG02
MG4500,FW62,,Memory-MCP,07/15/2022,ZROH,UMOTHR,KPC,SP2,A,PD,3000,V,0.00,USD,1,FIIWENG02
MG4800,FW62,,Heatsinks,07/15/2022,ZROH,UMOTHR,EA,SP4,A,PD,3000,V,0.00,USD,1,FIIWENG02
MG5100,FW62,,Transistor(???),07/15/2022,ZROH,UMOTHR,KPC,SP2,A,PD,3000,V,0.00,USD,1,FIIWENG02
MG5200,FW62,,DIODE(???),07/15/2022,ZROH,UMOTHR,KPC,SP2,A,PD,3000,V,0.00,USD,1,FIIWENG02
MG6100,FW62,,Resistor,07/15/2022,ZROH,UMOTHR,KPC,FWJ,B,PD,3000,V,0.00,USD,1,FIIWENG02
